# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	1	1371	+					dnaA		KYK33_RS00005	1371		old_locus_tag=KYK33_00005
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	1	1371	+	WP_005893135.1	WP_005893135.1		chromosomal replication initiator protein DnaA	dnaA		KYK33_RS00005	1371	456	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	1455	2558	+					dnaN		KYK33_RS00010	1104		old_locus_tag=KYK33_00010
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	1455	2558	+	WP_042043994.1	WP_042043994.1		DNA polymerase III subunit beta	dnaN		KYK33_RS00010	1104	367	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	2561	3664	+					recF		KYK33_RS00015	1104		old_locus_tag=KYK33_00015
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	2561	3664	+	WP_224431645.1	WP_224431645.1		DNA replication/repair protein RecF	recF		KYK33_RS00015	1104	367	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	3661	6075	+					gyrB		KYK33_RS00020	2415		old_locus_tag=KYK33_00020
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	3661	6075	+	WP_224431646.1	WP_224431646.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		KYK33_RS00020	2415	804	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	6193	7191	-							KYK33_RS00025	999		old_locus_tag=KYK33_00025
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	6193	7191	-	WP_224431647.1	WP_224431647.1		helix-turn-helix domain-containing protein			KYK33_RS00025	999	332	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	7278	8048	-							KYK33_RS00030	771		old_locus_tag=KYK33_00030
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	7278	8048	-	WP_042043986.1	WP_042043986.1		MBL fold metallo-hydrolase			KYK33_RS00030	771	256	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	8313	8726	+							KYK33_RS00035	414		old_locus_tag=KYK33_00035
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	8313	8726	+	WP_042043983.1	WP_042043983.1		Hsp20 family protein			KYK33_RS00035	414	137	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	8802	9239	+							KYK33_RS00040	438		old_locus_tag=KYK33_00040
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	8802	9239	+	WP_042043982.1	WP_042043982.1		Hsp20 family protein			KYK33_RS00040	438	145	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	9303	10574	-							KYK33_RS00045	1272		old_locus_tag=KYK33_00045
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	9303	10574	-	WP_224431648.1	WP_224431648.1		valine--pyruvate transaminase			KYK33_RS00045	1272	423	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	10858	11091	+							KYK33_RS00050	234		old_locus_tag=KYK33_00050
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	10858	11091	+	WP_224431649.1	WP_224431649.1		hypothetical protein			KYK33_RS00050	234	77	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	11219	11380	-							KYK33_RS00055	162		
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	11219	11380	-	WP_224431650.1	WP_224431650.1		hypothetical protein			KYK33_RS00055	162	53	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	11582	12265	-							KYK33_RS00060	684		old_locus_tag=KYK33_00060
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	11582	12265	-	WP_042043976.1	WP_042043976.1		response regulator			KYK33_RS00060	684	227	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	12311	14926	-							KYK33_RS00065	2616		old_locus_tag=KYK33_00065
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	12311	14926	-	WP_224431651.1	WP_224431651.1		sensor histidine kinase KdpD			KYK33_RS00065	2616	871	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	14919	15443	-							KYK33_RS00070	525		old_locus_tag=KYK33_00070
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	14919	15443	-	WP_224431652.1	WP_224431652.1		potassium-transporting ATPase subunit C			KYK33_RS00070	525	174	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	15529	17583	-					kdpB		KYK33_RS00075	2055		old_locus_tag=KYK33_00075
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	15529	17583	-	WP_042043972.1	WP_042043972.1		potassium-transporting ATPase subunit KdpB	kdpB		KYK33_RS00075	2055	684	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	17580	19259	-					kdpA		KYK33_RS00080	1680		old_locus_tag=KYK33_00080
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	17580	19259	-	WP_042043971.1	WP_042043971.1		potassium-transporting ATPase subunit KdpA	kdpA		KYK33_RS00080	1680	559	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	19653	21002	-					gorA		KYK33_RS00085	1350		old_locus_tag=KYK33_00085
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	19653	21002	-	WP_224431653.1	WP_224431653.1		glutathione-disulfide reductase	gorA		KYK33_RS00085	1350	449	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	21139	23106	-							KYK33_RS00090	1968		old_locus_tag=KYK33_00090
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	21139	23106	-	WP_224431654.1	WP_224431654.1		PAS domain S-box protein			KYK33_RS00090	1968	655	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	23310	25352	+					prlC		KYK33_RS00095	2043		old_locus_tag=KYK33_00095
